    369708:	symbol=__vdso_clock_gettime;  lookup in file=linux-vdso.so.1 [0]
    369708:	symbol=__vdso_gettimeofday;  lookup in file=linux-vdso.so.1 [0]
    369708:	symbol=__vdso_time;  lookup in file=linux-vdso.so.1 [0]
    369708:	symbol=__vdso_getcpu;  lookup in file=linux-vdso.so.1 [0]
    369708:	symbol=__vdso_clock_getres;  lookup in file=linux-vdso.so.1 [0]
    369708:	symbol=_res;  lookup in file=ls [0]
    369708:	symbol=_res;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=_res;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=svc_max_pollfd;  lookup in file=ls [0]
    369708:	symbol=svc_max_pollfd;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=svc_max_pollfd;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=obstack_alloc_failed_handler;  lookup in file=ls [0]
    369708:	symbol=__ctype_toupper;  lookup in file=ls [0]
    369708:	symbol=__ctype_toupper;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=__ctype_toupper;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=loc1;  lookup in file=ls [0]
    369708:	symbol=loc1;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=loc1;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=_dl_argv;  lookup in file=ls [0]
    369708:	symbol=_dl_argv;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=_dl_argv;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=_dl_argv;  lookup in file=/lib/x86_64-linux-gnu/libpcre2-8.so.0 [0]
    369708:	symbol=_dl_argv;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
    369708:	symbol=__libc_single_threaded;  lookup in file=ls [0]
    369708:	symbol=__libc_single_threaded;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=__libc_single_threaded;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=free;  lookup in file=ls [0]
    369708:	symbol=free;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=free;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=re_syntax_options;  lookup in file=ls [0]
    369708:	symbol=re_syntax_options;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=re_syntax_options;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=rpc_createerr;  lookup in file=ls [0]
    369708:	symbol=rpc_createerr;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=rpc_createerr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=stdout;  lookup in file=ls [0]
    369708:	symbol=stdout;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=stdout;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=__ctype32_toupper;  lookup in file=ls [0]
    369708:	symbol=__ctype32_toupper;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=__ctype32_toupper;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=opterr;  lookup in file=ls [0]
    369708:	symbol=opterr;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=opterr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=getdate_err;  lookup in file=ls [0]
    369708:	symbol=getdate_err;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=getdate_err;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=__curbrk;  lookup in file=ls [0]
    369708:	symbol=__curbrk;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=__curbrk;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=loc2;  lookup in file=ls [0]
    369708:	symbol=loc2;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=loc2;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=program_invocation_name;  lookup in file=ls [0]
    369708:	symbol=program_invocation_name;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=program_invocation_name;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=__fpu_control;  lookup in file=ls [0]
    369708:	symbol=__fpu_control;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=__fpu_control;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=__libc_enable_secure;  lookup in file=ls [0]
    369708:	symbol=__libc_enable_secure;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=__libc_enable_secure;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=__libc_enable_secure;  lookup in file=/lib/x86_64-linux-gnu/libpcre2-8.so.0 [0]
    369708:	symbol=__libc_enable_secure;  lookup in file=/lib64/ld-linux-x86-64.so.2 [0]
    369708:	symbol=_IO_2_1_stderr_;  lookup in file=ls [0]
    369708:	symbol=_IO_2_1_stderr_;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=_IO_2_1_stderr_;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=_IO_2_1_stderr_;  lookup in file=ls [0]
    369708:	symbol=_IO_2_1_stderr_;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=_IO_2_1_stderr_;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=__rcmd_errstr;  lookup in file=ls [0]
    369708:	symbol=__rcmd_errstr;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=__rcmd_errstr;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=__ctype_b;  lookup in file=ls [0]
    369708:	symbol=__ctype_b;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
    369708:	symbol=__ctype_b;  lookup in file=/lib/x86_64-linux-gnu/libc.so.6 [0]
    369708:	symbol=error_print_progname;  lookup in file=ls [0]
    369708:	symbol=error_print_progname;  lookup in file=/lib/x86_64-linux-gnu/libselinux.so.1 [0]
